inventory_id,medication_code,medication_name,medication_class,therapeutic_category,dosage_form,strength,unit_cost,lot_number,expiration_date,quantity_on_hand,reorder_level,supplier,storage_location
INV000001,MED001,Lisinopril,ACE Inhibitor,Cardiovascular,Tablet,10mg,15.5,LOT000001,2028-02-22,170,48,Morris & Dickson,Shelf-9-D
INV000002,MED001,Lisinopril,ACE Inhibitor,Cardiovascular,Tablet,10mg,15.5,LOT000002,2028-04-22,138,15,Cardinal Health,Shelf-8-B
INV000003,MED002,Metformin,Antidiabetic,Endocrine,Tablet,500mg,12.25,LOT000003,2028-05-19,399,36,McKesson,Shelf-11-C
INV000004,MED002,Metformin,Antidiabetic,Endocrine,Tablet,500mg,12.25,LOT000004,2027-06-10,366,36,Morris & Dickson,Shelf-16-B
INV000005,MED002,Metformin,Antidiabetic,Endocrine,Tablet,500mg,12.25,LOT000005,2028-09-15,357,11,AmerisourceBergen,Shelf-19-C
INV000006,MED002,Metformin,Antidiabetic,Endocrine,Tablet,500mg,12.25,LOT000006,2028-01-17,334,15,AmerisourceBergen,Shelf-1-B
INV000007,MED002,Metformin,Antidiabetic,Endocrine,Tablet,500mg,12.25,LOT000007,2028-05-16,144,26,Cardinal Health,Shelf-2-C
INV000008,MED003,Atorvastatin,Statin,Cardiovascular,Tablet,20mg,28.75,LOT000008,2026-12-01,280,11,Morris & Dickson,Shelf-4-D
INV000009,MED003,Atorvastatin,Statin,Cardiovascular,Tablet,20mg,28.75,LOT000009,2027-08-18,326,26,Cardinal Health,Shelf-14-B
INV000010,MED003,Atorvastatin,Statin,Cardiovascular,Tablet,20mg,28.75,LOT000010,2027-02-27,367,10,Cardinal Health,Shelf-20-B
INV000011,MED003,Atorvastatin,Statin,Cardiovascular,Tablet,20mg,28.75,LOT000011,2027-02-08,140,35,AmerisourceBergen,Shelf-11-D
INV000012,MED003,Atorvastatin,Statin,Cardiovascular,Tablet,20mg,28.75,LOT000012,2027-05-20,406,45,McKesson,Shelf-2-C
INV000013,MED003,Atorvastatin,Statin,Cardiovascular,Tablet,20mg,28.75,LOT000013,2027-12-24,53,12,Morris & Dickson,Shelf-1-D
INV000014,MED004,Omeprazole,Proton Pump Inhibitor,Gastrointestinal,Capsule,20mg,22.0,LOT000014,2027-04-17,384,22,AmerisourceBergen,Shelf-10-B
INV000015,MED004,Omeprazole,Proton Pump Inhibitor,Gastrointestinal,Capsule,20mg,22.0,LOT000015,2027-02-25,173,48,Cardinal Health,Shelf-10-B
INV000016,MED004,Omeprazole,Proton Pump Inhibitor,Gastrointestinal,Capsule,20mg,22.0,LOT000016,2027-11-24,183,25,Cardinal Health,Shelf-14-C
INV000017,MED004,Omeprazole,Proton Pump Inhibitor,Gastrointestinal,Capsule,20mg,22.0,LOT000017,2026-08-18,348,41,AmerisourceBergen,Shelf-16-A
INV000018,MED004,Omeprazole,Proton Pump Inhibitor,Gastrointestinal,Capsule,20mg,22.0,LOT000018,2028-02-18,374,15,AmerisourceBergen,Shelf-10-D
INV000019,MED004,Omeprazole,Proton Pump Inhibitor,Gastrointestinal,Capsule,20mg,22.0,LOT000019,2027-05-17,244,14,McKesson,Shelf-14-A
INV000020,MED004,Omeprazole,Proton Pump Inhibitor,Gastrointestinal,Capsule,20mg,22.0,LOT000020,2028-01-21,476,43,Cardinal Health,Shelf-14-A
INV000021,MED005,Amlodipine,Calcium Channel Blocker,Cardiovascular,Tablet,5mg,18.5,LOT000021,2027-10-01,261,45,Cardinal Health,Shelf-18-D
INV000022,MED005,Amlodipine,Calcium Channel Blocker,Cardiovascular,Tablet,5mg,18.5,LOT000022,2026-11-22,180,43,McKesson,Shelf-3-D
INV000023,MED005,Amlodipine,Calcium Channel Blocker,Cardiovascular,Tablet,5mg,18.5,LOT000023,2027-08-12,200,25,Morris & Dickson,Shelf-8-C
INV000024,MED005,Amlodipine,Calcium Channel Blocker,Cardiovascular,Tablet,5mg,18.5,LOT000024,2027-09-25,151,18,AmerisourceBergen,Shelf-11-C
INV000025,MED005,Amlodipine,Calcium Channel Blocker,Cardiovascular,Tablet,5mg,18.5,LOT000025,2027-09-05,123,50,Cardinal Health,Shelf-20-D
INV000026,MED005,Amlodipine,Calcium Channel Blocker,Cardiovascular,Tablet,5mg,18.5,LOT000026,2027-02-17,344,27,AmerisourceBergen,Shelf-20-C
INV000027,MED005,Amlodipine,Calcium Channel Blocker,Cardiovascular,Tablet,5mg,18.5,LOT000027,2027-05-05,155,44,McKesson,Shelf-3-B
INV000028,MED006,Simvastatin,Statin,Cardiovascular,Tablet,40mg,25.75,LOT000028,2027-07-30,126,25,McKesson,Shelf-11-B
INV000029,MED006,Simvastatin,Statin,Cardiovascular,Tablet,40mg,25.75,LOT000029,2026-09-21,215,26,Cardinal Health,Shelf-4-D
INV000030,MED006,Simvastatin,Statin,Cardiovascular,Tablet,40mg,25.75,LOT000030,2026-05-27,411,33,Morris & Dickson,Shelf-11-C
INV000031,MED006,Simvastatin,Statin,Cardiovascular,Tablet,40mg,25.75,LOT000031,2027-06-20,168,13,Morris & Dickson,Shelf-10-C
INV000032,MED006,Simvastatin,Statin,Cardiovascular,Tablet,40mg,25.75,LOT000032,2026-11-13,130,36,AmerisourceBergen,Shelf-5-C
INV000033,MED006,Simvastatin,Statin,Cardiovascular,Tablet,40mg,25.75,LOT000033,2026-11-26,190,25,Cardinal Health,Shelf-6-C
INV000034,MED006,Simvastatin,Statin,Cardiovascular,Tablet,40mg,25.75,LOT000034,2028-02-27,426,45,AmerisourceBergen,Shelf-3-C
INV000035,MED007,Levothyroxine,Thyroid Hormone,Endocrine,Tablet,50mcg,35.25,LOT000035,2027-03-01,130,35,Cardinal Health,Shelf-14-B
INV000036,MED007,Levothyroxine,Thyroid Hormone,Endocrine,Tablet,50mcg,35.25,LOT000036,2027-02-09,283,18,AmerisourceBergen,Shelf-11-B
INV000037,MED007,Levothyroxine,Thyroid Hormone,Endocrine,Tablet,50mcg,35.25,LOT000037,2027-01-26,302,39,AmerisourceBergen,Shelf-14-D
INV000038,MED007,Levothyroxine,Thyroid Hormone,Endocrine,Tablet,50mcg,35.25,LOT000038,2027-09-11,353,15,McKesson,Shelf-14-B
INV000039,MED008,Azithromycin,Antibiotic,Anti-Infective,Tablet,250mg,45.0,LOT000039,2026-12-25,197,35,McKesson,Shelf-7-D
INV000040,MED008,Azithromycin,Antibiotic,Anti-Infective,Tablet,250mg,45.0,LOT000040,2026-08-10,459,50,Cardinal Health,Shelf-9-A
INV000041,MED008,Azithromycin,Antibiotic,Anti-Infective,Tablet,250mg,45.0,LOT000041,2026-12-16,471,25,Morris & Dickson,Shelf-6-B
INV000042,MED008,Azithromycin,Antibiotic,Anti-Infective,Tablet,250mg,45.0,LOT000042,2027-05-13,82,10,Cardinal Health,Shelf-4-B
INV000043,MED009,Prednisone,Corticosteroid,Anti-Inflammatory,Tablet,10mg,20.5,LOT000043,2028-02-25,466,10,Cardinal Health,Shelf-19-A
INV000044,MED009,Prednisone,Corticosteroid,Anti-Inflammatory,Tablet,10mg,20.5,LOT000044,2027-09-06,232,31,Morris & Dickson,Shelf-12-C
INV000045,MED009,Prednisone,Corticosteroid,Anti-Inflammatory,Tablet,10mg,20.5,LOT000045,2028-04-24,277,29,Cardinal Health,Shelf-2-B
INV000046,MED009,Prednisone,Corticosteroid,Anti-Inflammatory,Tablet,10mg,20.5,LOT000046,2027-05-12,108,49,McKesson,Shelf-14-C
